home_idx,away_idx,margin,home_team,away_team,home_pr,away_pr,home_off,home_def,away_off,away_def
8,1,-3.0,DET,BKN,0.012590743809682,0.0245005373461128,0.949618,1.015795,1.024876,1.016646
27,9,-16.0,TOR,GSW,0.0402042952349722,0.0711095215138326,0.989893,0.969089,1.001005,0.950809
13,29,2.0,LAL,WAS,0.0137511796875004,0.0184133026207388,1.013651,1.040915,0.983764,1.013005
2,21,-3.0,BOS,ORL,0.0772253049343108,0.0089507342892975,1.008049,0.944763,0.942972,1.01223
7,3,4.0,DEN,CHA,0.0345402587126149,0.0246902228698749,1.017956,0.998491,1.045667,1.04167
22,27,3.0,PHI,TOR,0.035428294317116,0.0402042952349722,0.994641,0.971781,0.989893,0.969089
23,13,26.0,PHX,LAL,0.0602335274538521,0.0137511796875004,1.034706,0.972419,1.013651,1.040915
0,21,1.0,ATL,ORL,0.0543994736103703,0.0089507342892975,1.032039,1.019011,0.942972,1.01223
10,26,-19.0,HOU,SAS,0.0063633062928196,0.0261337119399451,0.992851,1.06718,1.022324,1.022463
17,6,10.0,MIN,DAL,0.0464363618485504,0.0400431558863304,1.049302,1.026474,0.973076,0.945594
20,24,2.0,OKC,POR,0.0096898554654642,0.0137597696546373,0.936351,1.006328,0.960516,1.037311
18,16,-9.0,NOP,MIL,0.0208227100466635,0.0280730979756421,0.986774,0.99425,1.046029,1.016851
5,28,23.0,CLE,UTA,0.0500866440470742,0.0537611219294618,0.972418,0.953531,1.025165,0.973709
25,3,-6.0,SAC,CHA,0.0125988940675179,0.0246902228698749,0.998358,1.046842,1.045667,1.04167
19,9,30.0,NYK,GSW,0.0291673104305282,0.0711095215138326,0.961948,0.961574,1.001005,0.950809
15,4,-10.0,MIA,CHI,0.0457870794643961,0.0255075170500835,0.992439,0.954699,1.011078,1.014173
23,29,-3.0,PHX,WAS,0.0602335274538521,0.0184133026207388,1.034706,0.972419,0.983764,1.013005
7,14,14.0,DEN,MEM,0.0345402587126149,0.0598898243501919,1.017956,0.998491,1.04365,0.994827
8,28,-15.0,DET,UTA,0.012590743809682,0.0537611219294618,0.949618,1.015795,1.025165,0.973709
5,16,8.0,CLE,MIL,0.0500866440470742,0.0280730979756421,0.972418,0.953531,1.046029,1.016851
19,27,-7.0,NYK,TOR,0.0291673104305282,0.0402042952349722,0.961948,0.961574,0.989893,0.969089
12,3,21.0,LAC,CHA,0.0347824704668889,0.0246902228698749,0.978238,0.977603,1.045667,1.04167
25,13,14.0,SAC,LAL,0.0125988940675179,0.0137511796875004,0.998358,1.046842,1.013651,1.040915
2,11,-5.0,BOS,IND,0.0772253049343108,0.0210597726835284,1.008049,0.944763,1.010643,1.039967
20,24,3.0,OKC,POR,0.0096898554654642,0.0137597696546373,0.936351,1.006328,0.960516,1.037311
10,21,-6.0,HOU,ORL,0.0063633062928196,0.0089507342892975,0.992851,1.06718,0.942972,1.01223
0,4,-2.0,ATL,CHI,0.0543994736103703,0.0255075170500835,1.032039,1.019011,1.011078,1.014173
17,6,-5.0,MIN,DAL,0.0464363618485504,0.0400431558863304,1.049302,1.026474,0.973076,0.945594
1,9,30.0,BKN,GSW,0.0245005373461128,0.0711095215138326,1.024876,1.016646,1.001005,0.950809
22,8,20.0,PHI,DET,0.035428294317116,0.012590743809682,0.994641,0.971781,0.949618,1.015795
18,26,9.0,NOP,SAS,0.0208227100466635,0.0261337119399451,0.986774,0.99425,1.022324,1.022463
28,29,8.0,UTA,WAS,0.0537611219294618,0.0184133026207388,1.025165,0.973709,0.983764,1.013005
5,27,-11.0,CLE,TOR,0.0500866440470742,0.0402042952349722,0.972418,0.953531,0.989893,0.969089
13,3,-4.0,LAL,CHA,0.0137511796875004,0.0246902228698749,1.013651,1.040915,1.045667,1.04167
23,14,-25.0,PHX,MEM,0.0602335274538521,0.0598898243501919,1.034706,0.972419,1.04365,0.994827
25,29,-14.0,SAC,WAS,0.0125988940675179,0.0184133026207388,0.998358,1.046842,0.983764,1.013005
19,4,-1.0,NYK,CHI,0.0291673104305282,0.0255075170500835,0.961948,0.961574,1.011078,1.014173
7,24,13.0,DEN,POR,0.0345402587126149,0.0137597696546373,1.017956,0.998491,0.960516,1.037311
20,18,-3.0,OKC,NOP,0.0096898554654642,0.0208227100466635,0.936351,1.006328,0.986774,0.99425
10,6,-6.0,HOU,DAL,0.0063633062928196,0.0400431558863304,0.992851,1.06718,0.973076,0.945594
15,11,-3.0,MIA,IND,0.0457870794643961,0.0210597726835284,0.992439,0.954699,1.010643,1.039967
