home_idx,away_idx,margin,season
19,9,-16.0,2015
21,2,10.0,2015
13,3,-14.0,2015
12,4,30.0,2015
24,17,8.0,2015
1,8,0.0,2015
26,21,20.0,2015
7,27,24.0,2015
20,29,21.0,2015
11,5,0.0,2015
18,14,-10.0,2015
0,6,20.0,2015
28,4,14.0,2015
25,16,12.0,2015
24,16,17.0,2015
23,27,-2.0,2015
10,15,18.0,2015
19,2,-3.0,2015
13,17,9.0,2015
1,11,-9.0,2015
29,9,-8.0,2015
12,17,-1.0,2015
22,0,-30.0,2015
28,7,9.0,2015
26,18,18.0,2015
2,8,12.0,2015
20,21,8.0,2015
6,15,2.0,2015
25,4,0.0,2015
3,5,14.0,2015
23,10,-1.0,2015
18,13,2.0,2015
8,19,11.0,2015
24,27,-2.0,2015
28,16,8.0,2015
29,22,17.0,2015
19,14,-1.0,2015
7,4,10.0,2015
21,12,-9.0,2015
1,25,14.0,2015
5,2,4.0,2015
6,26,-21.0,2015
0,11,11.0,2015
3,15,2.0,2015
23,28,-4.0,2015
14,6,1.0,2015
5,18,20.0,2015
26,13,9.0,2015
10,24,-12.0,2015
22,1,10.0,2015
17,4,12.0,2015
3,29,9.0,2015
11,8,13.0,2015
9,20,13.0,2015
2,25,14.0,2015
21,0,7.0,2015
15,12,-2.0,2015
19,7,0.0,2015
17,18,-9.0,2015
5,25,25.0,2015
8,27,-9.0,2015
1,7,6.0,2015
11,13,7.0,2015
0,21,-2.0,2015
14,24,-1.0,2015
22,12,-1.0,2015
23,20,-11.0,2015
3,4,22.0,2015
15,26,-13.0,2015
16,2,6.0,2015
6,28,3.0,2015
9,10,18.0,2015
19,29,2.0,2015
2,12,10.0,2015
5,13,14.0,2015
23,9,-3.0,2015
4,0,-18.0,2015
24,10,18.0,2015
21,26,3.0,2015
17,27,10.0,2015
22,25,1.0,2015
18,28,9.0,2015
8,7,-6.0,2015
11,3,-17.0,2015
1,14,-14.0,2015
16,29,12.0,2015
20,18,30.0,2015
29,28,19.0,2015
12,26,24.0,2015
5,4,16.0,2015
0,15,1.0,2015
29,8,17.0,2015
28,2,23.0,2015
13,26,-1.0,2015
25,7,11.0,2015
18,22,12.0,2015
23,10,-11.0,2015
1,19,16.0,2015
16,3,2.0,2015
4,27,15.0,2015
24,9,30.0,2015
20,11,2.0,2015
21,6,11.0,2015
14,17,10.0,2015
17,19,-3.0,2015
12,9,2.0,2015
15,29,25.0,2015
0,16,-3.0,2015
20,5,-18.0,2015
6,22,30.0,2015
23,26,-2.0,2015
7,2,-15.0,2015
1,3,-3.0,2015
24,28,9.0,2015
21,11,2.0,2015
8,18,0.0,2015
4,13,16.0,2015
27,14,18.0,2015
12,23,30.0,2015
0,9,-5.0,2015
16,13,12.0,2015
5,8,-3.0,2015
17,2,7.0,2015
15,11,13.0,2015
19,27,-22.0,2015
7,25,1.0,2015
24,1,13.0,2015
28,10,8.0,2015
22,21,-4.0,2015
29,18,25.0,2015
8,22,25.0,2015
6,20,-8.0,2015
12,7,-1.0,2015
27,17,14.0,2015
11,19,8.0,2015
15,9,-1.0,2015
25,26,-11.0,2015
5,3,16.0,2015
14,13,14.0,2015
4,29,10.0,2015
21,9,-11.0,2015
18,20,9.0,2015
23,1,-5.0,2015
2,16,10.0,2015
28,26,-13.0,2015
24,10,-9.0,2015
22,29,-4.0,2015
13,14,-12.0,2015
6,7,11.0,2015
25,12,-5.0,2015
11,3,4.0,2015
0,4,20.0,2015
19,21,18.0,2015
27,5,7.0,2015
4,24,-3.0,2015
28,1,3.0,2015
20,9,2.0,2015
16,8,-6.0,2015
10,26,-5.0,2015
18,17,3.0,2015
23,14,10.0,2015
2,15,17.0,2015
6,17,30.0,2015
29,5,19.0,2015
11,24,-4.0,2015
0,3,16.0,2015
21,22,19.0,2015
8,27,18.0,2015
19,15,-12.0,2015
16,10,12.0,2015
25,20,-10.0,2015
2,28,10.0,2015
7,14,-2.0,2015
12,1,15.0,2015
29,22,13.0,2015
5,11,9.0,2015
9,0,9.0,2015
15,4,23.0,2015
3,23,30.0,2015
13,1,11.0,2015
6,21,18.0,2015
19,24,-14.0,2015
22,3,-15.0,2015
27,28,15.0,2015
26,8,21.0,2015
10,18,10.0,2015
16,11,0.0,2015
17,29,-1.0,2015
7,13,15.0,2015
12,20,10.0,2015
14,25,11.0,2015
21,4,18.0,2015
2,24,28.0,2015
15,23,21.0,2015
6,25,2.0,2015
18,26,-3.0,2015
9,20,20.0,2015
16,17,20.0,2015
7,1,4.0,2015
14,28,11.0,2015
21,23,-13.0,2015
5,29,30.0,2015
22,15,-5.0,2015
13,0,-24.0,2015
2,19,6.0,2015
27,24,7.0,2015
3,11,12.0,2015
26,25,15.0,2015
12,0,-5.0,2015
4,10,13.0,2015
17,1,19.0,2015
18,28,-7.0,2015
29,11,4.0,2015
19,8,18.0,2015
5,2,22.0,2015
14,23,-4.0,2015
27,10,-1.0,2015
8,24,25.0,2015
7,6,7.0,2015
15,22,10.0,2015
16,20,-3.0,2015
13,9,22.0,2015
3,17,10.0,2015
5,14,2.0,2015
18,25,8.0,2015
11,26,13.0,2015
9,21,11.0,2015
6,12,-14.0,2015
4,16,15.0,2015
17,26,-20.0,2015
7,19,21.0,2015
24,29,12.0,2015
27,1,10.0,2015
13,21,14.0,2015
28,0,-2.0,2015
25,5,-4.0,2015
6,8,-1.0,2015
23,19,-26.0,2015
16,15,11.0,2015
22,10,-9.0,2015
3,18,14.0,2015
9,28,26.0,2015
20,12,17.0,2015
2,14,25.0,2015
27,0,13.0,2015
13,5,-7.0,2015
7,23,23.0,2015
26,4,13.0,2015
9,24,21.0,2015
14,18,12.0,2015
20,17,2.0,2015
28,29,26.0,2015
2,10,1.0,2015
22,1,11.0,2015
3,8,20.0,2015
4,15,-17.0,2015
12,19,12.0,2015
25,21,-2.0,2015
9,23,12.0,2015
