home_idx,away_idx,margin,season
24,9,22.0,2018
2,8,8.0,2018
19,22,-15.0,2018
27,29,9.0,2018
12,23,27.0,2018
18,20,9.0,2018
21,3,30.0,2018
0,19,-15.0,2018
1,24,-14.0,2018
5,23,13.0,2018
9,25,2.0,2018
13,10,5.0,2018
16,2,1.0,2018
22,15,4.0,2018
14,12,-6.0,2018
21,4,-1.0,2018
6,7,-10.0,2018
19,17,-11.0,2018
3,29,13.0,2018
0,8,-3.0,2018
20,28,1.0,2018
11,18,15.0,2018
27,26,3.0,2018
18,13,13.0,2018
16,17,12.0,2018
20,25,-3.0,2018
5,14,5.0,2018
29,11,-7.0,2018
3,1,-2.0,2018
0,23,8.0,2018
9,10,-6.0,2018
15,8,-23.0,2018
4,2,10.0,2018
28,6,16.0,2018
22,24,-15.0,2018
7,12,27.0,2018
19,26,12.0,2018
27,21,-15.0,2018
15,23,-3.0,2018
5,24,-13.0,2018
8,11,4.0,2018
17,25,7.0,2018
12,6,9.0,2018
1,26,16.0,2018
3,9,-11.0,2018
14,13,5.0,2018
10,0,8.0,2018
18,22,-1.0,2018
4,16,-11.0,2018
7,20,9.0,2018
27,2,23.0,2018
19,21,5.0,2018
13,18,6.0,2018
14,4,-2.0,2018
25,16,-1.0,2018
26,8,12.0,2018
28,12,6.0,2018
6,11,9.0,2018
15,9,1.0,2018
3,10,-5.0,2018
2,24,-5.0,2018
0,17,8.0,2018
1,29,-9.0,2018
20,22,-4.0,2018
19,5,-7.0,2018
10,15,3.0,2018
7,28,-7.0,2018
21,9,7.0,2018
11,17,7.0,2018
25,12,-7.0,2018
27,24,2.0,2018
2,29,11.0,2018
0,4,-7.0,2018
1,3,-11.0,2018
13,16,-11.0,2018
23,18,-14.0,2018
7,18,-8.0,2018
15,1,29.0,2018
5,8,-30.0,2018
22,9,-3.0,2018
28,16,4.0,2018
11,21,-5.0,2018
6,14,-30.0,2018
26,20,14.0,2018
23,13,9.0,2018
8,27,5.0,2018
12,19,21.0,2018
20,14,4.0,2018
4,0,-5.0,2018
3,24,-10.0,2018
2,10,-11.0,2018
29,17,14.0,2018
5,21,14.0,2018
25,19,7.0,2018
26,7,1.0,2018
23,16,9.0,2018
1,6,30.0,2018
28,18,-3.0,2018
15,0,1.0,2018
13,12,-8.0,2018
9,2,-30.0,2018
22,21,8.0,2018
27,10,-12.0,2018
14,24,9.0,2018
11,4,9.0,2018
17,20,11.0,2018
0,26,-7.0,2018
1,5,6.0,2018
25,2,-2.0,2018
13,7,-16.0,2018
3,15,-7.0,2018
23,19,11.0,2018
29,6,9.0,2018
18,28,-10.0,2018
8,17,17.0,2018
4,22,1.0,2018
24,20,-8.0,2018
16,11,19.0,2018
12,20,8.0,2018
15,5,16.0,2018
9,7,17.0,2018
21,6,5.0,2018
14,28,10.0,2018
3,29,1.0,2018
4,8,-8.0,2018
18,27,-23.0,2018
10,22,16.0,2018
16,3,17.0,2018
19,25,-8.0,2018
13,2,-13.0,2018
0,1,-2.0,2018
24,23,7.0,2018
17,29,5.0,2018
8,4,23.0,2018
14,21,8.0,2018
17,19,11.0,2018
26,16,7.0,2018
9,23,-4.0,2018
22,11,17.0,2018
6,10,-1.0,2018
15,27,-21.0,2018
